1,360,499
2,356,431
3,326,449
4,256,483
5,240,541
6,392,538
7,237,438
8,438,346
9,379,332
10,384,0
11,277,504
12,221,423
13,249,0
14,302,0
15,236,0
16,374,393
17,277,398
18,220,358
19,296,481
20,288,473
21,255,316
22,250,375
23,215,349
24,359,550
25,240,430
26,271,427
27,283,383
28,200,323
29,314,307
30,279,391
31,231,364
32,253,430
33,311,469
34,260,406
35,244,434
36,218,347
37,238,420
38,302,481
39,393,529
40,193,331
41,203,433
42,263,457
43,337,0
44,390,0
45,323,502
46,324,528
47,324,493
48,320,495
49,326,0
50,326,0
51,537,721
52,600,560
53,313,468
54,317,475
55,407,0
56,320,0
57,316,0
58,385,0
59,290,321
60,310,393
61,400,0
62,277,0
63,271,0
64,266,0
65,500,0
66,364,0
67,391,0
68,424,503
69,460,0
70,415,0
71,381,0
72,467,0
73,416,0
74,407,0
75,436,0
76,422,509
77,379,440
78,261,419
79,176,0
80,168,354
81,203,376
82,316,429
83,205,327
84,328,0
85,214,328
86,207,323
87,283,402
88,289,0
89,392,0
90,230,269
91,297,0
92,346,459
93,291,420
94,257,0
95,273,347
96,328,432
97,297,493
98,313,436
99,385,533
100,492,0
101,483,0
102,408,0
103,373,0
104,445,0
105,473,0
106,312,498
107,332,370
108,437,633
109,428,0
110,420,0
111,433,0
112,284,0
113,373,0
114,259,0
115,189,0
116,250,375
117,251,0
118,207,546
119,200,452
120,187,333
121,197,0
122,207,338
123,373,361
124,306,0
125,288,0
126,312,0
127,293,0
128,292,0
129,350,311
130,345,368
131,299,341
132,347,325
133,344,0
134,403,466
135,328,473
136,293,558
137,389,469
138,211,308
139,218,293
140,338,518
141,334,0
142,289,313
143,268,331
144,383,537
145,330,337
146,232,339
147,356,393
148,501,533
149,378,433
150,299,383
151,311,320
152,228,0
153,276,0
154,383,413
155,316,341
156,388,427
157,264,0
158,327,486
159,383,573
160,388,493
161,356,374
162,538,773
163,343,563
164,361,0
165,487,541
166,497,718
167,348,0
168,409,0
169,370,0
170,326,547
171,360,529
172,361,0
173,386,471
174,377,555
175,423,0
176,402,509
177,445,531
178,373,613
179,395,592
180,411,616
181,398,465
182,376,493
183,482,0
184,479,558
185,490,793
186,519,0
187,457,523
188,363,553
189,223,373
190,227,326
191,301,0
192,412,0
193,353,453
194,430,549
195,307,383
196,344,397
197,278,378
198,307,0
199,283,381
200,318,325
201,219,306
202,232,0
203,198,0
204,255,333
205,270,0
206,245,301
207,193,0
208,224,0
209,268,0
210,344,623
211,336,408
212,370,443
213,323,423
214,213,457
215,301,479
216,253,349
217,266,380
218,272,398
219,386,436
