606,150
607,151
608,151
609,151
610,154
611,154
612,154
613,154
614,154
615,155
616,155
617,156
618,156
619,156
620,156
621,156
622,156
623,156
624,156
625,156
626,158
627,159
628,159
629,159
630,159
631,159
632,159
633,159
634,159
635,160
636,160
637,161
638,161
639,162
640,162
641,162
642,162
643,163
644,165
645,165
646,166
647,170
648,171
649,173
650,173
651,173
652,173
653,174
654,174
655,174
656,174
657,174
658,174
659,174
660,176
661,176
662,176
663,177
664,177
665,177
666,177
667,177
668,177
669,177
670,177
671,177
672,177
673,177
674,178
675,178
676,178
677,178
678,178
679,178
680,178
681,178
682,178
683,178
684,178
685,178
686,178
687,178
688,178
689,178
690,178
691,178
692,178
693,178
694,178
695,178
696,178
697,178
698,178
699,178
700,178
701,178
702,178
703,178
704,178
705,179
706,180
707,180
708,180
709,180
710,180
711,180
712,181
713,181
714,181
715,181
716,181
717,181
718,182
719,182
720,181
721,184
722,185
723,185
724,185
725,187
726,187
727,187
728,187
729,187
730,188
731,188
732,188
733,188
734,188
735,188
736,188
737,188
738,189
739,189
740,190
741,190
742,190
743,190
744,193
745,193
746,193
747,193
748,193
749,193
750,193
751,193
752,193
753,193
754,193
755,193
756,193
757,193
758,193
759,193
760,193
761,193
762,193
763,193
764,193
765,193
766,193
767,193
768,193
769,193
770,193
771,193
772,193
773,193
774,193
775,193
776,193
777,193
778,193
779,193
780,193
781,193
782,194
783,194
784,194
785,194
786,194
787,194
788,194
789,195
790,195
791,195
792,195
793,195
794,195
795,195
796,195
797,195
798,195
799,195
800,195
801,195
802,195
803,195
804,195
805,195
806,195
807,195
808,196
809,196
810,197
811,197
812,199
813,199
814,199
815,199
816,199
817,200
818,200
819,200
820,200
821,200
822,200
823,200
824,201
825,204
826,204
827,204
828,204
829,204
830,204
831,206
832,210
833,210
834,210
835,210
836,210
837,210
838,210
839,210
840,210
841,210
842,210
843,210
844,210
845,211
846,212
847,212
848,212
849,212
850,212
851,212
852,213
853,213
854,213
855,213
856,213
857,214
858,215
859,215
860,215
861,215
862,215
